CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, lt, central, 0, -2.4, 2.4, 120, 180, 0, 1, "1.0022" 
0, lt, central, 0, -2.4, 2.4, 240, 450, 0, 1, "1.01764" 
0, lt, central, 0, -2.4, 2.4, 180, 240, 0, 1, "1.00468" 
0, lt, central, 0, -2.4, 2.4, 30, 120, 0, 1, "0.99839" 
0, lt, central, 1, -2.4, 2.4, 120, 180, 0, 1, "1.0022" 
0, lt, central, 1, -2.4, 2.4, 240, 450, 0, 1, "1.01764" 
0, lt, central, 1, -2.4, 2.4, 180, 240, 0, 1, "1.00468" 
0, lt, central, 1, -2.4, 2.4, 30, 120, 0, 1, "0.99839" 
0, lt, down, 0, -2.4, 2.4, 120, 180, 0, 1, "0.99137" 
0, lt, down, 0, -2.4, 2.4, 240, 450, 0, 1, "0.99825" 
0, lt, down, 0, -2.4, 2.4, 180, 240, 0, 1, "0.99277" 
0, lt, down, 0, -2.4, 2.4, 30, 120, 0, 1, "0.98769" 
0, lt, down, 1, -2.4, 2.4, 120, 180, 0, 1, "0.98054" 
0, lt, down, 1, -2.4, 2.4, 240, 450, 0, 1, "0.97886" 
0, lt, down, 1, -2.4, 2.4, 180, 240, 0, 1, "0.98087" 
0, lt, down, 1, -2.4, 2.4, 30, 120, 0, 1, "0.97698" 
0, lt, up, 0, -2.4, 2.4, 120, 180, 0, 1, "1.01303" 
0, lt, up, 0, -2.4, 2.4, 240, 450, 0, 1, "1.03703" 
0, lt, up, 0, -2.4, 2.4, 180, 240, 0, 1, "1.01659" 
0, lt, up, 0, -2.4, 2.4, 30, 120, 0, 1, "1.0091" 
0, lt, up, 1, -2.4, 2.4, 120, 180, 0, 1, "1.02386" 
0, lt, up, 1, -2.4, 2.4, 240, 450, 0, 1, "1.05642" 
0, lt, up, 1, -2.4, 2.4, 180, 240, 0, 1, "1.02849" 
0, lt, up, 1, -2.4, 2.4, 30, 120, 0, 1, "1.01981" 
1, lt, central, 0, -2.4, 2.4, 120, 180, 0, 1, "1.00499" 
1, lt, central, 0, -2.4, 2.4, 240, 450, 0, 1, "1.02189" 
1, lt, central, 0, -2.4, 2.4, 180, 240, 0, 1, "1.01106" 
1, lt, central, 0, -2.4, 2.4, 30, 120, 0, 1, "0.97841" 
1, lt, central, 1, -2.4, 2.4, 120, 180, 0, 1, "1.00499" 
1, lt, central, 1, -2.4, 2.4, 240, 450, 0, 1, "1.02189" 
1, lt, central, 1, -2.4, 2.4, 180, 240, 0, 1, "1.01106" 
1, lt, central, 1, -2.4, 2.4, 30, 120, 0, 1, "0.97841" 
1, lt, down, 0, -2.4, 2.4, 120, 180, 0, 1, "0.98711" 
1, lt, down, 0, -2.4, 2.4, 240, 450, 0, 1, "0.98857" 
1, lt, down, 0, -2.4, 2.4, 180, 240, 0, 1, "0.98742" 
1, lt, down, 0, -2.4, 2.4, 30, 120, 0, 1, "0.94446" 
1, lt, down, 1, -2.4, 2.4, 120, 180, 0, 1, "0.96924" 
1, lt, down, 1, -2.4, 2.4, 240, 450, 0, 1, "0.95524" 
1, lt, down, 1, -2.4, 2.4, 180, 240, 0, 1, "0.96378" 
1, lt, down, 1, -2.4, 2.4, 30, 120, 0, 1, "0.9105" 
1, lt, up, 0, -2.4, 2.4, 120, 180, 0, 1, "1.02287" 
1, lt, up, 0, -2.4, 2.4, 240, 450, 0, 1, "1.05521" 
1, lt, up, 0, -2.4, 2.4, 180, 240, 0, 1, "1.0347" 
1, lt, up, 0, -2.4, 2.4, 30, 120, 0, 1, "1.01236" 
1, lt, up, 1, -2.4, 2.4, 120, 180, 0, 1, "1.04074" 
1, lt, up, 1, -2.4, 2.4, 240, 450, 0, 1, "1.08854" 
1, lt, up, 1, -2.4, 2.4, 180, 240, 0, 1, "1.05834" 
1, lt, up, 1, -2.4, 2.4, 30, 120, 0, 1, "1.04631" 
0, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "0.954689+0.000316059*x+3.22024e-07*x*x+-4.06201e-10*x*x*x" 
0, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "0.873638+0.0005247*x+-3.15316e-07*x*x+4.83633e-11*x*x*x" 
0, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "1.0358+0.000107516*x+9.58049e-07*x*x+-8.59906e-10*x*x*x" 
1, incl, central, 2, 0, 2.4, 20, 1000, 0, 1, "0.629961+0.00245187*x+-3.64539e-06*x*x+2.04999e-09*x*x*x" 
1, incl, down, 2, 0, 2.4, 20, 1000, 0, 1, "0.582177+0.00204348*x+-2.94226e-06*x*x+1.6536e-09*x*x*x" 
1, incl, up, 2, 0, 2.4, 20, 1000, 0, 1, "0.676736+0.00286128*x+-4.34618e-06*x*x+2.44485e-09*x*x*x" 
